table_schema,table_name,column_name,ordinal_position,data_type,udt_name,is_nullable,column_default,column_comment,has_comment,table_comment
public,_stg_yichang_river_counts,layer_inserted,1,integer,int4,YES,0,,False,
public,_stg_yichang_river_counts,layer_updated,2,integer,int4,YES,0,,False,
public,_stg_yichang_river_counts,asset_inserted,3,integer,int4,YES,0,,False,
public,_stg_yichang_river_counts,asset_updated,4,integer,int4,YES,0,,False,
public,_stg_yichang_river_counts,skipped,5,integer,int4,YES,0,,False,
public,_stg_yichang_river_import,gid,1,integer,int4,NO,nextval('_stg_yichang_river_import_gid_seq'::regclass),,False,
public,_stg_yichang_river_import,OBJECTID,2,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,Nextdown,3,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,MAINRIVID,4,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,Hydrocount,5,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,Rclass,6,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,Rlenth,7,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,Hydrolenth,8,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,Rcatch,9,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,TCatch,10,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,Rname,11,character varying,varchar,YES,,,False,
public,_stg_yichang_river_import,Shape_Leng,12,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,RiverID,13,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,RclassDISP,14,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,OSMratio,15,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,GRITratio,16,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,Hydroratio,17,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,NameList,18,character varying,varchar,YES,,,False,
public,_stg_yichang_river_import,OrignCNT,19,character varying,varchar,YES,,,False,
public,_stg_yichang_river_import,SEG_ID,20,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,LEN,21,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,FLIPPED,22,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,FROM_Z,23,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,TO_Z,24,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,STR_ORD,25,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,SHR_ORD,26,numeric,numeric,YES,,,False,
public,_stg_yichang_river_import,geom,27,USER-DEFINED,geometry,YES,,,False,
public,_stg_yichang_river_std,gid,1,integer,int4,YES,,,False,
public,_stg_yichang_river_std,river_code,2,text,text,YES,,,False,
public,_stg_yichang_river_std,river_name,3,text,text,YES,,,False,
public,_stg_yichang_river_std,next_down,4,bigint,int8,YES,,,False,
public,_stg_yichang_river_std,river_class,5,text,text,YES,,,False,
public,_stg_yichang_river_std,length_km,6,numeric,numeric,YES,,,False,
public,_stg_yichang_river_std,from_z,7,numeric,numeric,YES,,,False,
public,_stg_yichang_river_std,to_z,8,numeric,numeric,YES,,,False,
public,_stg_yichang_river_std,geom,9,USER-DEFINED,geometry,YES,,,False,
public,_stg_yichang_river_std,metadata_json,10,jsonb,jsonb,YES,,,False,
public,ad_dict,row_id,1,bigint,int8,NO,,ROW_ID,True,数据字典
public,ad_dict,list_type,2,character varying,varchar,YES,,列表类型,True,数据字典
public,ad_dict,list_type_desc,3,character varying,varchar,YES,,列表描述,True,数据字典
public,ad_dict,item_code,4,character varying,varchar,YES,,列表项代码,True,数据字典
public,ad_dict,item_name,5,character varying,varchar,YES,,列表项名称,True,数据字典
public,ad_dict,taxis_no,6,integer,int4,NO,0,排序码,True,数据字典
public,ad_dict,origin_flag,7,character,bpchar,YES,,数据来源的标志：[]或[I]-(Input)系统录入;[O]-(Out)外部接口导入;[S]-(System)系统保留。本标志不能挪为它用。,True,数据字典
public,ad_dict,origin_app,8,character varying,varchar,YES,,数据来源应用的代码,True,数据字典
public,ad_dict,modification_num,9,integer,int4,NO,0,记录修改次数,True,数据字典
public,ad_dict,create_time,10,timestamp without time zone,timestamp,YES,,,False,数据字典
public,ad_dict,update_time,11,timestamp without time zone,timestamp,YES,,,False,数据字典
public,ad_dict,del_flag,12,character,bpchar,YES,'0'::bpchar,,False,数据字典
public,ad_dict,create_by,13,bigint,int8,YES,,,False,数据字典
public,ad_dict,update_by,14,bigint,int8,YES,,,False,数据字典
public,cf_auto_build_flag,id,1,bigint,int8,NO,,主键id,True,主键id
public,cf_auto_build_flag,manual_auto,2,character,bpchar,NO,,0 手动处理、1 自动处理,True,主键id
public,cf_auto_build_flag,create_by,3,bigint,int8,YES,,创建人,True,主键id
public,cf_auto_build_flag,create_time,4,timestamp without time zone,timestamp,YES,,创建时间,True,主键id
public,cf_auto_build_flag,update_by,5,bigint,int8,YES,,更新人,True,主键id
public,cf_auto_build_flag,update_time,6,timestamp without time zone,timestamp,YES,,更新时间,True,主键id
public,cf_auto_build_flag,del_flag,7,character,bpchar,YES,0,删除标记：0 未删除、1 已删除,True,主键id
public,day_quality_records,id,1,bigint,int8,NO,,主键id,True,日质控数据
public,day_quality_records,station_id,2,bigint,int8,YES,,站点id,True,日质控数据
public,day_quality_records,type,3,character,bpchar,YES,,类型：0 零点核查数据、1 跨度核查数据,True,日质控数据
public,day_quality_records,span_value5,4,double precision,float8,YES,,氨氮仪器跨度值,True,日质控数据
public,day_quality_records,check_value5,5,double precision,float8,YES,,氨氮零点/跨度核查数据,True,日质控数据
public,day_quality_records,standard_value5,6,double precision,float8,YES,,氨氮标准样浓度,True,日质控数据
public,day_quality_records,monitor_time5,7,timestamp without time zone,timestamp,YES,,氨氮监测时间,True,日质控数据
public,day_quality_records,span_value6,8,double precision,float8,YES,,高锰酸盐指数仪器跨度值,True,日质控数据
public,day_quality_records,check_value6,9,double precision,float8,YES,,高锰酸盐指数零点/跨度核查数据,True,日质控数据
public,day_quality_records,standard_value6,10,double precision,float8,YES,,高锰酸盐指数标准样浓度,True,日质控数据
public,day_quality_records,monitor_time6,11,timestamp without time zone,timestamp,YES,,高锰酸盐指数监测时间,True,日质控数据
public,day_quality_records,span_value7,12,double precision,float8,YES,,总磷仪器跨度值,True,日质控数据
public,day_quality_records,check_value7,13,double precision,float8,YES,,总磷零点/跨度核查数据,True,日质控数据
public,day_quality_records,standard_value7,14,double precision,float8,YES,,总磷标准样浓度,True,日质控数据
public,day_quality_records,monitor_time7,15,timestamp without time zone,timestamp,YES,,总磷监测时间,True,日质控数据
public,day_quality_records,span_value8,16,double precision,float8,YES,,总氮仪器跨度值,True,日质控数据
public,day_quality_records,check_value8,17,double precision,float8,YES,,总氮零点/跨度核查数据,True,日质控数据
public,day_quality_records,standard_value8,18,double precision,float8,YES,,总氮标准样浓度,True,日质控数据
public,day_quality_records,monitor_time8,19,timestamp without time zone,timestamp,YES,,总氮监测时间,True,日质控数据
public,day_quality_records,monitor_time,20,timestamp without time zone,timestamp,YES,,最新时间,True,日质控数据
public,day_quality_records,create_by,21,bigint,int8,YES,,创建人,True,日质控数据
public,day_quality_records,create_time,22,timestamp without time zone,timestamp,YES,,创建时间,True,日质控数据
public,day_quality_records,update_by,23,bigint,int8,YES,,更新人,True,日质控数据
public,day_quality_records,update_time,24,timestamp without time zone,timestamp,YES,,更新时间,True,日质控数据
public,day_quality_records,del_flag,25,character,bpchar,YES,0,删除标记：0 未删除、1 已删除,True,日质控数据
public,day_quality_setting,id,1,bigint,int8,NO,,主键id,True,日质控设置
public,day_quality_setting,station_id,2,bigint,int8,YES,,站点id,True,日质控设置
public,day_quality_setting,indicator_code,3,character varying,varchar,YES,,监测指标编号,True,日质控设置
public,day_quality_setting,span_value,4,double precision,float8,YES,,,False,日质控设置
public,day_quality_setting,zero_standard_value,5,double precision,float8,YES,,,False,日质控设置
public,day_quality_setting,span_standard_value,6,double precision,float8,YES,,,False,日质控设置
public,day_quality_setting,audit_by,7,bigint,int8,YES,,审核人,True,日质控设置
public,day_quality_setting,audit_time,8,timestamp without time zone,timestamp,YES,,审核时间,True,日质控设置
public,day_quality_setting,create_by,9,bigint,int8,YES,,创建人,True,日质控设置
public,day_quality_setting,create_time,10,timestamp without time zone,timestamp,YES,,创建时间,True,日质控设置
public,day_quality_setting,update_by,11,bigint,int8,YES,,更新人,True,日质控设置
public,day_quality_setting,update_time,12,timestamp without time zone,timestamp,YES,,更新时间,True,日质控设置
public,day_quality_setting,del_flag,13,character,bpchar,YES,0,删除标记：0 未删除、1 已删除,True,日质控设置
public,dc_survey_app,id,1,bigint,int8,NO,nextval('dc_survey_app_id_seq'::regclass),主键ID,True,APP安装包版本管理表
public,dc_survey_app,version_code,2,character varying,varchar,NO,,APP版本号：V1.0.0、1.0.0、100,True,APP安装包版本管理表
public,dc_survey_app,version_name,3,character varying,varchar,NO,,APP版本名称: 如果有多个APP保证每一类名称一致,True,APP安装包版本管理表
public,dc_survey_app,update_type,4,smallint,int2,YES,2,更新类型：1-强制更新，2-可选更新,True,APP安装包版本管理表
public,dc_survey_app,download_url,5,character varying,varchar,NO,,安装包下载地址,True,APP安装包版本管理表
public,dc_survey_app,file_size,6,bigint,int8,NO,,安装包文件大小（字节）,True,APP安装包版本管理表
public,dc_survey_app,file_md5,7,character varying,varchar,NO,,安装包MD5值，用于校验文件完整性,True,APP安装包版本管理表
public,dc_survey_app,update_log,8,text,text,YES,,更新日志,True,APP安装包版本管理表
public,dc_survey_app,platform_type,9,smallint,int2,YES,1,平台类型：1-Android，2-iOS,True,APP安装包版本管理表
public,dc_survey_app,create_by,10,bigint,int8,YES,,创建人,True,APP安装包版本管理表
public,dc_survey_app,create_time,11,timestamp without time zone,timestamp,YES,CURRENT_TIMESTAMP,创建时间,True,APP安装包版本管理表
public,dc_survey_info,id,1,bigint,int8,NO,nextval('dc_survey_info_id_seq'::regclass),主键ID,True,巡回调查-调查后的核查信息
public,dc_survey_info,watershed_partition_id,2,bigint,int8,NO,,流域分区ID,True,巡回调查-调查后的核查信息
public,dc_survey_info,title,3,character varying,varchar,YES,,标题：对应调研的名称,True,巡回调查-调查后的核查信息
public,dc_survey_info,upload_time,4,character varying,varchar,YES,,上传时间：每次上传都记录时间  20251128,True,巡回调查-调查后的核查信息
public,dc_survey_info,name,5,character varying,varchar,YES,,名称,True,巡回调查-调查后的核查信息
public,dc_survey_info,type,6,character varying,varchar,YES,,类型（工业、规上畜禽、规下畜禽、水产养殖、排污口、污水处理厂、厕污垃、河道情况、其他）,True,巡回调查-调查后的核查信息
public,dc_survey_info,lon,7,double precision,float8,YES,,经度,True,巡回调查-调查后的核查信息
public,dc_survey_info,lat,8,double precision,float8,YES,,纬度,True,巡回调查-调查后的核查信息
public,dc_survey_info,description,9,character varying,varchar,YES,,现场核查情况信息（是否有污水产生、污水流向）,True,巡回调查-调查后的核查信息
public,dc_survey_info,image_path,10,character varying,varchar,YES,,图片地址：图片在minIO存储,True,巡回调查-调查后的核查信息
public,dc_survey_info,monitor_info,11,character varying,varchar,YES,,监测信息（是否监测，结果如何）,True,巡回调查-调查后的核查信息
public,dc_survey_info,monitor_level,12,character varying,varchar,YES,,管控级别：一级（常年有水，肯定对水体有影响），二级（下雨时肯定对水体影响），三级（可能有影响），四级（无影响）,True,巡回调查-调查后的核查信息
public,dc_survey_info,remark,13,character varying,varchar,YES,,备注,True,巡回调查-调查后的核查信息
public,dc_survey_info,create_by,14,bigint,int8,YES,,创建人,True,巡回调查-调查后的核查信息
public,dc_survey_info,create_time,15,timestamp without time zone,timestamp,YES,,创建时间,True,巡回调查-调查后的核查信息
public,dc_survey_info,update_by,16,bigint,int8,YES,,更新人,True,巡回调查-调查后的核查信息
public,dc_survey_info,update_time,17,timestamp without time zone,timestamp,YES,,更新时间,True,巡回调查-调查后的核查信息
public,dc_survey_info,del_flag,18,character,bpchar,YES,'0'::bpchar,删除标记：0 未删除、1 已删除,True,巡回调查-调查后的核查信息
public,dc_survey_info,survey_type,19,smallint,int2,NO,0,调查类型：0-excel调查信息、1-word小结,True,巡回调查-调查后的核查信息
public,dc_survey_info,image_path_2,20,character varying,varchar,YES,,图片2,True,巡回调查-调查后的核查信息
public,dc_survey_info,image_path_3,21,character varying,varchar,YES,,图片3,True,巡回调查-调查后的核查信息
public,dc_survey_info,task_id,22,bigint,int8,YES,,APP巡查：任务id,True,巡回调查-调查后的核查信息
public,dc_survey_info,task_instance_id,23,bigint,int8,YES,,APP巡查：巡查任务实例id,True,巡回调查-调查后的核查信息
public,dc_survey_offline_sync,id,1,bigint,int8,NO,nextval('dc_survey_offline_sync_id_seq'::regclass),主键,True,离线同步任务表
public,dc_survey_offline_sync,cache_id,2,character varying,varchar,NO,,缓存ID：APP端维护，用于关联提交数据,True,离线同步任务表
public,dc_survey_offline_sync,sync_status,3,integer,int4,YES,0,同步状态：0-待同步，1-同步中，2-同步成功，3-同步失败,True,离线同步任务表
public,dc_survey_offline_sync,sync_progress,4,integer,int4,YES,0,同步进度：0-100,True,离线同步任务表
public,dc_survey_offline_sync,total_steps,5,integer,int4,YES,0,总步骤数,True,离线同步任务表
public,dc_survey_offline_sync,current_step,6,integer,int4,YES,0,当前步骤,True,离线同步任务表
public,dc_survey_offline_sync,sync_start_time,7,timestamp without time zone,timestamp,YES,,同步开始时间,True,离线同步任务表
public,dc_survey_offline_sync,sync_end_time,8,timestamp without time zone,timestamp,YES,,同步结束时间,True,离线同步任务表
public,dc_survey_offline_sync,task_id,9,bigint,int8,YES,,任务ID：关联的巡查任务ID,True,离线同步任务表
public,dc_survey_offline_sync,sync_result,10,character varying,varchar,YES,,同步结果信息,True,离线同步任务表
public,dc_survey_offline_sync,error_message,11,text,text,YES,,错误信息,True,离线同步任务表
public,dc_survey_offline_sync,create_by,12,bigint,int8,YES,,创建人,True,离线同步任务表
public,dc_survey_offline_sync,create_time,13,timestamp without time zone,timestamp,YES,CURRENT_TIMESTAMP,创建时间,True,离线同步任务表
public,dc_survey_offline_sync,del_flag,14,character varying,varchar,YES,'0'::character varying,删除标记：0 未删除、1 已删除,True,离线同步任务表
public,dc_survey_offline_upload,id,1,bigint,int8,NO,nextval('dc_survey_offline_upload_id_seq'::regclass),主键ID,True,文件上传缓存表 - 支持断点续传和本地文件缓存
public,dc_survey_offline_upload,cache_id,2,character varying,varchar,NO,,缓存ID：与离线同步任务的cacheId对应，用于批量文件管理,True,文件上传缓存表 - 支持断点续传和本地文件缓存
public,dc_survey_offline_upload,file_md5,3,character varying,varchar,NO,,文件标识：MD5值，用于唯一标识文件和完整性校验,True,文件上传缓存表 - 支持断点续传和本地文件缓存
public,dc_survey_offline_upload,file_type,4,character varying,varchar,NO,,文件类型：json-JSON数据文件，image-图片文件,True,文件上传缓存表 - 支持断点续传和本地文件缓存
public,dc_survey_offline_upload,file_name,5,character varying,varchar,NO,,文件名,True,文件上传缓存表 - 支持断点续传和本地文件缓存
public,dc_survey_offline_upload,file_size,6,bigint,int8,NO,,文件总大小：字节,True,文件上传缓存表 - 支持断点续传和本地文件缓存
public,dc_survey_offline_upload,uploaded_size,7,bigint,int8,YES,0,已上传大小：字节,True,文件上传缓存表 - 支持断点续传和本地文件缓存
public,dc_survey_offline_upload,total_chunks,8,integer,int4,YES,0,总分块数,True,文件上传缓存表 - 支持断点续传和本地文件缓存
public,dc_survey_offline_upload,uploaded_chunks,9,text,text,YES,,已上传分块列表：JSON数组，记录已完成的分块序号,True,文件上传缓存表 - 支持断点续传和本地文件缓存
public,dc_survey_offline_upload,file_path,10,character varying,varchar,YES,,文件存储路径：上传完成后的完整路径,True,文件上传缓存表 - 支持断点续传和本地文件缓存
public,dc_survey_offline_upload,upload_status,11,smallint,int2,YES,0,上传状态：0-待上传，1-上传中，2-上传完成，3-合并失败,True,文件上传缓存表 - 支持断点续传和本地文件缓存
public,dc_survey_offline_upload,message,12,text,text,YES,,执行信息：错误日志,True,文件上传缓存表 - 支持断点续传和本地文件缓存
public,dc_survey_offline_upload,create_by,13,bigint,int8,YES,,创建人,True,文件上传缓存表 - 支持断点续传和本地文件缓存
public,dc_survey_offline_upload,create_time,14,timestamp without time zone,timestamp,YES,CURRENT_TIMESTAMP,创建时间,True,文件上传缓存表 - 支持断点续传和本地文件缓存
public,dc_survey_offline_upload,update_time,15,timestamp without time zone,timestamp,YES,CURRENT_TIMESTAMP,更新时间,True,文件上传缓存表 - 支持断点续传和本地文件缓存
public,dc_survey_offline_upload,clean_flag,16,character,bpchar,YES,'0'::bpchar,本地文件清理标记：0 未删除、1 已删除,True,文件上传缓存表 - 支持断点续传和本地文件缓存
public,dc_survey_task,id,1,bigint,int8,NO,nextval('dc_survey_task_id_seq'::regclass),主键,True,巡查任务表
public,dc_survey_task,title,2,character varying,varchar,NO,,巡查标题,True,巡查任务表
public,dc_survey_task,survey_time,3,character varying,varchar,NO,,巡查时间: yyyyMMdd,True,巡查任务表
public,dc_survey_task,watershed_partition_id,4,bigint,int8,NO,,流域分区ID,True,巡查任务表
public,dc_survey_task,status,5,integer,int4,YES,0,"任务状态: 0-进行中, 1-已暂停, 2-已结束",True,巡查任务表
public,dc_survey_task,point_count,6,integer,int4,YES,0,点位数量,True,巡查任务表
public,dc_survey_task,remark,7,character varying,varchar,YES,,备注,True,巡查任务表
public,dc_survey_task,create_by,8,bigint,int8,YES,,创建人,True,巡查任务表
public,dc_survey_task,create_time,9,timestamp without time zone,timestamp,YES,CURRENT_TIMESTAMP,创建时间,True,巡查任务表
public,dc_survey_task,update_by,10,bigint,int8,YES,,更新人,True,巡查任务表
public,dc_survey_task,update_time,11,timestamp without time zone,timestamp,YES,CURRENT_TIMESTAMP,更新时间,True,巡查任务表
public,dc_survey_task,del_flag,12,character varying,varchar,YES,'0'::character varying,删除标记：0 未删除、1 已删除,True,巡查任务表
public,dc_survey_task,image_count,13,integer,int4,YES,0,照片数量,True,巡查任务表
public,dc_survey_task,duration,14,bigint,int8,YES,0,巡查时长: 单位秒,True,巡查任务表
public,dc_survey_task,distance,15,numeric,numeric,YES,0.000,巡查距离: 单位km,True,巡查任务表
public,dc_survey_task,current_point_count,16,integer,int4,YES,0,本次巡查点位数量: 重新开启后自动清零,True,巡查任务表
public,dc_survey_task,update_name,17,character varying,varchar,YES,,更新人名称：当前巡查人员,True,巡查任务表
public,dc_survey_task,cache_id,18,character varying,varchar,YES,,本地缓存ID：APP端维护,True,巡查任务表
public,dc_survey_task_instance,id,1,bigint,int8,NO,nextval('dc_survey_task_instance_id_seq'::regclass),主键,True,任务实例：记录轨迹、点位的添加
public,dc_survey_task_instance,task_id,2,bigint,int8,NO,,任务ID,True,任务实例：记录轨迹、点位的添加
public,dc_survey_task_instance,start_time,3,timestamp without time zone,timestamp,YES,,执行开始时间,True,任务实例：记录轨迹、点位的添加
public,dc_survey_task_instance,end_time,4,timestamp without time zone,timestamp,YES,,执行结束时间,True,任务实例：记录轨迹、点位的添加
public,dc_survey_task_instance,duration,5,bigint,int8,YES,,执行时长（秒）,True,任务实例：记录轨迹、点位的添加
public,dc_survey_task_instance,create_time,6,timestamp without time zone,timestamp,YES,CURRENT_TIMESTAMP,创建时间,True,任务实例：记录轨迹、点位的添加
public,dc_survey_track,id,1,bigint,int8,NO,nextval('dc_survey_track_id_seq'::regclass),主键,True,巡查轨迹记录表
public,dc_survey_track,task_id,2,bigint,int8,NO,,巡查任务ID,True,巡查轨迹记录表
public,dc_survey_track,lat,3,double precision,float8,NO,,纬度,True,巡查轨迹记录表
public,dc_survey_track,lon,4,double precision,float8,NO,,经度,True,巡查轨迹记录表
public,dc_survey_track,distance,5,numeric,numeric,YES,0.000,距离上一个点的距离（米）,True,巡查轨迹记录表
public,dc_survey_track,create_by,6,bigint,int8,YES,,创建人,True,巡查轨迹记录表
public,dc_survey_track,create_time,7,timestamp without time zone,timestamp,YES,CURRENT_TIMESTAMP,创建时间,True,巡查轨迹记录表
public,dc_survey_track,num,8,integer,int4,NO,,点位编号,True,巡查轨迹记录表
public,dc_survey_track,task_instance_id,9,bigint,int8,YES,,实例ID,True,巡查轨迹记录表
public,gis_control_unit,id,1,bigint,int8,NO,nextval('gis_control_unit_id_seq1'::regclass),主键,True,
public,gis_control_unit,geom,2,USER-DEFINED,geometry,YES,,几何信息,True,
public,gis_control_unit,control_unit_name,3,character varying,varchar,YES,,控制单元名称,True,
public,gis_control_unit,area,4,double precision,float8,YES,,面积（km2）,True,
public,gis_control_unit,control_unit_code,5,character varying,varchar,YES,,控制单元编码,True,
public,gis_control_unit,basin,6,character varying,varchar,YES,,所属流域,True,
public,gis_control_unit,remark,7,character varying,varchar,YES,,备注,True,
public,gis_control_unit,create_time,8,timestamp without time zone,timestamp,YES,CURRENT_TIMESTAMP,创建时间,True,
public,gis_control_unit,update_time,9,timestamp without time zone,timestamp,YES,,更新时间,True,
