table_schema,table_name,column_name,data_type,udt_name,table_comment,table_prefix
public,_stg_yichang_river_counts,layer_inserted,integer,int4,,_stg
public,_stg_yichang_river_counts,layer_updated,integer,int4,,_stg
public,_stg_yichang_river_counts,asset_inserted,integer,int4,,_stg
public,_stg_yichang_river_counts,asset_updated,integer,int4,,_stg
public,_stg_yichang_river_counts,skipped,integer,int4,,_stg
public,_stg_yichang_river_import,gid,integer,int4,,_stg
public,_stg_yichang_river_import,OBJECTID,numeric,numeric,,_stg
public,_stg_yichang_river_import,Nextdown,numeric,numeric,,_stg
public,_stg_yichang_river_import,MAINRIVID,numeric,numeric,,_stg
public,_stg_yichang_river_import,Hydrocount,numeric,numeric,,_stg
public,_stg_yichang_river_import,Rclass,numeric,numeric,,_stg
public,_stg_yichang_river_import,Rlenth,numeric,numeric,,_stg
public,_stg_yichang_river_import,Hydrolenth,numeric,numeric,,_stg
public,_stg_yichang_river_import,Rcatch,numeric,numeric,,_stg
public,_stg_yichang_river_import,TCatch,numeric,numeric,,_stg
public,_stg_yichang_river_import,Rname,character varying,varchar,,_stg
public,_stg_yichang_river_import,Shape_Leng,numeric,numeric,,_stg
public,_stg_yichang_river_import,RiverID,numeric,numeric,,_stg
public,_stg_yichang_river_import,RclassDISP,numeric,numeric,,_stg
public,_stg_yichang_river_import,OSMratio,numeric,numeric,,_stg
public,_stg_yichang_river_import,GRITratio,numeric,numeric,,_stg
public,_stg_yichang_river_import,Hydroratio,numeric,numeric,,_stg
public,_stg_yichang_river_import,NameList,character varying,varchar,,_stg
public,_stg_yichang_river_import,OrignCNT,character varying,varchar,,_stg
public,_stg_yichang_river_import,SEG_ID,numeric,numeric,,_stg
public,_stg_yichang_river_import,LEN,numeric,numeric,,_stg
public,_stg_yichang_river_import,FLIPPED,numeric,numeric,,_stg
public,_stg_yichang_river_import,FROM_Z,numeric,numeric,,_stg
public,_stg_yichang_river_import,TO_Z,numeric,numeric,,_stg
public,_stg_yichang_river_import,STR_ORD,numeric,numeric,,_stg
public,_stg_yichang_river_import,SHR_ORD,numeric,numeric,,_stg
public,_stg_yichang_river_import,geom,USER-DEFINED,geometry,,_stg
public,_stg_yichang_river_std,gid,integer,int4,,_stg
public,_stg_yichang_river_std,river_code,text,text,,_stg
public,_stg_yichang_river_std,river_name,text,text,,_stg
public,_stg_yichang_river_std,next_down,bigint,int8,,_stg
public,_stg_yichang_river_std,river_class,text,text,,_stg
public,_stg_yichang_river_std,length_km,numeric,numeric,,_stg
public,_stg_yichang_river_std,from_z,numeric,numeric,,_stg
public,_stg_yichang_river_std,to_z,numeric,numeric,,_stg
