schema,table,column,type,has_comment,comment
public,_stg_yichang_river_counts,layer_inserted,integer,no,
public,_stg_yichang_river_counts,layer_updated,integer,no,
public,_stg_yichang_river_counts,asset_inserted,integer,no,
public,_stg_yichang_river_counts,asset_updated,integer,no,
public,_stg_yichang_river_counts,skipped,integer,no,
public,_stg_yichang_river_import,gid,integer,yes,地理要素唯一标识
public,_stg_yichang_river_import,OBJECTID,"numeric(18,0)",yes,对象唯一标识
public,_stg_yichang_river_import,Nextdown,"numeric(18,0)",yes,下游河流ID
public,_stg_yichang_river_import,MAINRIVID,"numeric(18,0)",yes,干流ID
public,_stg_yichang_river_import,Hydrocount,"numeric(18,0)",yes,水文计数
public,_stg_yichang_river_import,Rclass,"numeric(18,0)",yes,河流类别编码
public,_stg_yichang_river_import,Rlenth,"numeric(23,15)",yes,河流长度
public,_stg_yichang_river_import,Hydrolenth,"numeric(23,15)",yes,水文计算长度
public,_stg_yichang_river_import,Rcatch,"numeric(23,15)",yes,汇水面积
public,_stg_yichang_river_import,TCatch,"numeric(23,15)",yes,总汇水面积
public,_stg_yichang_river_import,Rname,character varying(80),yes,河流名称
public,_stg_yichang_river_import,Shape_Leng,"numeric(23,15)",yes,要素长度
public,_stg_yichang_river_import,RiverID,"numeric(18,0)",yes,河流ID
public,_stg_yichang_river_import,RclassDISP,"numeric(18,0)",no,
public,_stg_yichang_river_import,OSMratio,"numeric(23,15)",no,
public,_stg_yichang_river_import,GRITratio,"numeric(23,15)",no,
public,_stg_yichang_river_import,Hydroratio,"numeric(23,15)",no,
public,_stg_yichang_river_import,NameList,character varying(80),yes,河流名称列表
public,_stg_yichang_river_import,OrignCNT,character varying(80),no,
public,_stg_yichang_river_import,SEG_ID,"numeric(18,0)",yes,分段ID
public,_stg_yichang_river_import,LEN,"numeric(23,15)",yes,分段长度
public,_stg_yichang_river_import,FLIPPED,"numeric(18,0)",no,
public,_stg_yichang_river_import,FROM_Z,"numeric(23,15)",yes,起点高程
public,_stg_yichang_river_import,TO_Z,"numeric(23,15)",yes,终点高程
public,_stg_yichang_river_import,STR_ORD,"numeric(18,0)",yes,Strahler河流分级
public,_stg_yichang_river_import,SHR_ORD,"numeric(18,0)",yes,Shreve河流分级
public,_stg_yichang_river_import,geom,"geometry(MultiLineString,4326)",yes,空间几何数据
public,_stg_yichang_river_std,gid,integer,yes,地理要素唯一标识
public,_stg_yichang_river_std,river_code,text,yes,河流编码
public,_stg_yichang_river_std,river_name,text,yes,河流名称
public,_stg_yichang_river_std,next_down,bigint,yes,下游河流ID
public,_stg_yichang_river_std,river_class,text,yes,河流类别
public,_stg_yichang_river_std,length_km,numeric,yes,河流长度（公里）
public,_stg_yichang_river_std,from_z,numeric,yes,起点高程
public,_stg_yichang_river_std,to_z,numeric,yes,终点高程
public,_stg_yichang_river_std,geom,"geometry(MultiLineString,4326)",yes,空间几何数据
public,_stg_yichang_river_std,metadata_json,jsonb,no,
public,ad_dict,row_id,bigint,yes,ROW_ID
public,ad_dict,list_type,character varying(32),yes,列表类型
public,ad_dict,list_type_desc,character varying(255),yes,列表描述
public,ad_dict,item_code,character varying(32),yes,列表项代码
public,ad_dict,item_name,character varying(100),yes,列表项名称
public,ad_dict,taxis_no,integer,yes,排序码
public,ad_dict,origin_flag,character(1),yes,数据来源的标志：[]或[I]-(Input)系统录入;[O]-(Out)外部接口导入;[S]-(System)系统保留。本标志不能挪为它用。
public,ad_dict,origin_app,character varying(32),yes,数据来源应用的代码
public,ad_dict,modification_num,integer,yes,记录修改次数
public,ad_dict,create_time,timestamp without time zone,yes,创建时间
public,ad_dict,update_time,timestamp without time zone,yes,修改时间
public,ad_dict,del_flag,character(1),yes,删除标志：0-正常，1-已删除
public,ad_dict,create_by,bigint,yes,创建人
public,ad_dict,update_by,bigint,yes,修改人
public,cf_auto_build_flag,id,bigint,yes,主键id
public,cf_auto_build_flag,manual_auto,character(1),yes,0 手动处理、1 自动处理
public,cf_auto_build_flag,create_by,bigint,yes,创建人
public,cf_auto_build_flag,create_time,timestamp without time zone,yes,创建时间
public,cf_auto_build_flag,update_by,bigint,yes,更新人
public,cf_auto_build_flag,update_time,timestamp without time zone,yes,更新时间
public,cf_auto_build_flag,del_flag,character(1),yes,删除标记：0 未删除、1 已删除
public,day_quality_records,id,bigint,yes,主键id
public,day_quality_records,station_id,bigint,yes,站点id
public,day_quality_records,type,character(1),yes,类型：0 零点核查数据、1 跨度核查数据
public,day_quality_records,span_value5,double precision,yes,氨氮仪器跨度值
public,day_quality_records,check_value5,double precision,yes,氨氮零点/跨度核查数据
public,day_quality_records,standard_value5,double precision,yes,氨氮标准样浓度
public,day_quality_records,monitor_time5,timestamp without time zone,yes,氨氮监测时间
public,day_quality_records,span_value6,double precision,yes,高锰酸盐指数仪器跨度值
public,day_quality_records,check_value6,double precision,yes,高锰酸盐指数零点/跨度核查数据
public,day_quality_records,standard_value6,double precision,yes,高锰酸盐指数标准样浓度
public,day_quality_records,monitor_time6,timestamp without time zone,yes,高锰酸盐指数监测时间
public,day_quality_records,span_value7,double precision,yes,总磷仪器跨度值
public,day_quality_records,check_value7,double precision,yes,总磷零点/跨度核查数据
public,day_quality_records,standard_value7,double precision,yes,总磷标准样浓度
public,day_quality_records,monitor_time7,timestamp without time zone,yes,总磷监测时间
public,day_quality_records,span_value8,double precision,yes,总氮仪器跨度值
public,day_quality_records,check_value8,double precision,yes,总氮零点/跨度核查数据
public,day_quality_records,standard_value8,double precision,yes,总氮标准样浓度
public,day_quality_records,monitor_time8,timestamp without time zone,yes,总氮监测时间
public,day_quality_records,monitor_time,timestamp without time zone,yes,最新时间
public,day_quality_records,create_by,bigint,yes,创建人
public,day_quality_records,create_time,timestamp without time zone,yes,创建时间
public,day_quality_records,update_by,bigint,yes,更新人
public,day_quality_records,update_time,timestamp without time zone,yes,更新时间
public,day_quality_records,del_flag,character(1),yes,删除标记：0 未删除、1 已删除
public,day_quality_setting,id,bigint,yes,主键id
public,day_quality_setting,station_id,bigint,yes,站点id
public,day_quality_setting,indicator_code,character varying(100),yes,监测指标编号
public,day_quality_setting,span_value,double precision,no,
public,day_quality_setting,zero_standard_value,double precision,no,
public,day_quality_setting,span_standard_value,double precision,no,
public,day_quality_setting,audit_by,bigint,yes,审核人
public,day_quality_setting,audit_time,timestamp without time zone,yes,审核时间
public,day_quality_setting,create_by,bigint,yes,创建人
public,day_quality_setting,create_time,timestamp without time zone,yes,创建时间
public,day_quality_setting,update_by,bigint,yes,更新人
public,day_quality_setting,update_time,timestamp without time zone,yes,更新时间
public,day_quality_setting,del_flag,character(1),yes,删除标记：0 未删除、1 已删除
public,dc_survey_app,id,bigint,yes,主键ID
public,dc_survey_app,version_code,character varying(50),yes,APP版本号：V1.0.0、1.0.0、100
public,dc_survey_app,version_name,character varying(100),yes,APP版本名称: 如果有多个APP保证每一类名称一致
public,dc_survey_app,update_type,smallint,yes,更新类型：1-强制更新，2-可选更新
public,dc_survey_app,download_url,character varying(500),yes,安装包下载地址
public,dc_survey_app,file_size,bigint,yes,安装包文件大小（字节）
public,dc_survey_app,file_md5,character varying(32),yes,安装包MD5值，用于校验文件完整性
public,dc_survey_app,update_log,text,yes,更新日志
public,dc_survey_app,platform_type,smallint,yes,平台类型：1-Android，2-iOS
public,dc_survey_app,create_by,bigint,yes,创建人
public,dc_survey_app,create_time,timestamp without time zone,yes,创建时间
public,dc_survey_info,id,bigint,yes,主键ID
public,dc_survey_info,watershed_partition_id,bigint,yes,流域分区ID
public,dc_survey_info,title,character varying(50),yes,标题：对应调研的名称
public,dc_survey_info,upload_time,character varying(50),yes,上传时间：每次上传都记录时间  20251128
public,dc_survey_info,name,character varying(50),yes,名称
public,dc_survey_info,type,character varying(50),yes,类型（工业、规上畜禽、规下畜禽、水产养殖、排污口、污水处理厂、厕污垃、河道情况、其他）
public,dc_survey_info,lon,double precision,yes,经度
public,dc_survey_info,lat,double precision,yes,纬度
public,dc_survey_info,description,character varying(200),yes,现场核查情况信息（是否有污水产生、污水流向）
public,dc_survey_info,image_path,character varying(200),yes,图片地址：图片在minIO存储
public,dc_survey_info,monitor_info,character varying(100),yes,监测信息（是否监测，结果如何）
public,dc_survey_info,monitor_level,character varying(10),yes,管控级别：一级（常年有水，肯定对水体有影响），二级（下雨时肯定对水体影响），三级（可能有影响），四级（无影响）
public,dc_survey_info,remark,character varying(200),yes,备注
public,dc_survey_info,create_by,bigint,yes,创建人
public,dc_survey_info,create_time,timestamp without time zone,yes,创建时间
public,dc_survey_info,update_by,bigint,yes,更新人
public,dc_survey_info,update_time,timestamp without time zone,yes,更新时间
public,dc_survey_info,del_flag,character(1),yes,删除标记：0 未删除、1 已删除
public,dc_survey_info,survey_type,smallint,yes,调查类型：0-excel调查信息、1-word小结
public,dc_survey_info,image_path_2,character varying(200),yes,图片2
public,dc_survey_info,image_path_3,character varying(200),yes,图片3
public,dc_survey_info,task_id,bigint,yes,APP巡查：任务id
public,dc_survey_info,task_instance_id,bigint,yes,APP巡查：巡查任务实例id
public,dc_survey_offline_sync,id,bigint,yes,主键
public,dc_survey_offline_sync,cache_id,character varying(64),yes,缓存ID：APP端维护，用于关联提交数据
public,dc_survey_offline_sync,sync_status,integer,yes,同步状态：0-待同步，1-同步中，2-同步成功，3-同步失败
public,dc_survey_offline_sync,sync_progress,integer,yes,同步进度：0-100
public,dc_survey_offline_sync,total_steps,integer,yes,总步骤数
public,dc_survey_offline_sync,current_step,integer,yes,当前步骤
public,dc_survey_offline_sync,sync_start_time,timestamp without time zone,yes,同步开始时间
public,dc_survey_offline_sync,sync_end_time,timestamp without time zone,yes,同步结束时间
public,dc_survey_offline_sync,task_id,bigint,yes,任务ID：关联的巡查任务ID
public,dc_survey_offline_sync,sync_result,character varying(500),yes,同步结果信息
public,dc_survey_offline_sync,error_message,text,yes,错误信息
public,dc_survey_offline_sync,create_by,bigint,yes,创建人
public,dc_survey_offline_sync,create_time,timestamp without time zone,yes,创建时间
public,dc_survey_offline_sync,del_flag,character varying(1),yes,删除标记：0 未删除、1 已删除
public,dc_survey_offline_upload,id,bigint,yes,主键ID
public,dc_survey_offline_upload,cache_id,character varying(64),yes,缓存ID：与离线同步任务的cacheId对应，用于批量文件管理
public,dc_survey_offline_upload,file_md5,character varying(32),yes,文件标识：MD5值，用于唯一标识文件和完整性校验
public,dc_survey_offline_upload,file_type,character varying(20),yes,文件类型：json-JSON数据文件，image-图片文件
public,dc_survey_offline_upload,file_name,character varying(255),yes,文件名
public,dc_survey_offline_upload,file_size,bigint,yes,文件总大小：字节
public,dc_survey_offline_upload,uploaded_size,bigint,yes,已上传大小：字节
public,dc_survey_offline_upload,total_chunks,integer,yes,总分块数
public,dc_survey_offline_upload,uploaded_chunks,text,yes,已上传分块列表：JSON数组，记录已完成的分块序号
public,dc_survey_offline_upload,file_path,character varying(500),yes,文件存储路径：上传完成后的完整路径
