table_name,ddl_retrieved,ddl_preview,doc_retrieved,doc_preview
day_quality_setting,yes,"-- Table: public.""day_quality_records""
-- Table comment: 日质控数据
CREATE TABLE public.""day_quality_records"" (
  ""id"" bigint,
  ""station_id"" bigint,
  ""type"" character(1),
  ""span_value5"" double precision...",yes,"# Table: public.day_quality_setting — 日质控设置

# Column documentation:
day_quality_setting.id: 主键id
day_quality_setting.station_id: 站点id
day_quality_setting.indicator_code: 监测指标编号
day_quality_setting.au..."
wm_waterquality_day_records,yes,"-- Table: public.""wh_hydrological_day_records""
-- Table comment: 水文监测日记录表
CREATE TABLE public.""wh_hydrological_day_records"" (
  ""id"" bigint,
  ""station_id"" bigint,
  ""m1_value"" double precision,
  ""m1...",yes,"# Table: public.wm_waterquality_day_records — 水质监测日记录表

# Column documentation:
wm_waterquality_day_records.id: id
wm_waterquality_day_records.station_id: 站点id
wm_waterquality_day_records.m1_value: 水温..."
wm_waterquality_hour_records,yes,"-- Table: public.""wm_waterquality_hour_records""
-- Table comment: 水质监测小时记录表
CREATE TABLE public.""wm_waterquality_hour_records"" (
  ""id"" bigint,
  ""station_id"" bigint,
  ""m1_value"" double precision,
  ...",yes,"# Table: public.wm_waterquality_hour_records — 水质监测小时记录表

# Column documentation:
wm_waterquality_hour_records.id: id
wm_waterquality_hour_records.station_id: 监测站id
wm_waterquality_hour_records.m1_val..."
rs_outlet,yes,"-- Table: public.""layer_outlet_sewage""
-- Table comment: 工业园区-污水排放口
CREATE TABLE public.""layer_outlet_sewage"" (
  ""id"" integer,
  ""x"" double precision,
  ""y"" double precision,
  ""name"" character varyi...",yes,"# Table: public.rs_outlet_trace_v2 — 排污口溯源

# Column documentation:
rs_outlet_trace_v2.id: 主键ID
rs_outlet_trace_v2.outlet_id: 关联排污口ID
rs_outlet_trace_v2.primary_entity_name: 主要责任主体名称
rs_outlet_trace_v..."
wst_trace_topology_issue,yes,"-- Table: public.""wst_trace_node""
-- Table comment: 水安全溯源模块-溯源拓扑节点表，用于存储河网、管网、园区排污河流、排口挂接点、断面挂接点、园区出口等 pgRouting 节点
CREATE TABLE public.""wst_trace_node"" (
  ""id"" bigint,
  ""node_code"" character varyin...",yes,"# Table: public.wst_trace_topology_issue — 溯源拓扑问题记录表

# Column documentation:
wst_trace_topology_issue.id: 主键ID
wst_trace_topology_issue.issue_type: 问题类型
wst_trace_topology_issue.issue_name: 问题名称
wst_..."
ad_dict,yes,"-- Table: public.""wst_asset_type_dict""
-- Table comment: 水安全溯源模块-资产类型字典表，用于统一管理资产类型、图层、图标、几何类型和前端展示规则
CREATE TABLE public.""wst_asset_type_dict"" (
  ""id"" bigint,
  ""asset_type"" character varying(100),
...",yes,"# Table: public.ad_dict — 数据字典

# Column documentation:
ad_dict.row_id: ROW_ID
ad_dict.list_type: 列表类型
ad_dict.list_type_desc: 列表描述
ad_dict.item_code: 列表项代码
ad_dict.item_name: 列表项名称
ad_dict.taxis_no: ..."
gis_ecologicalregion,yes,"-- Table: public.""gis_ecologicalregion""
-- Table comment: 生态保护红线区域表
CREATE TABLE public.""gis_ecologicalregion"" (
  ""id"" bigint,
  ""ecological_region_name"" character varying(255),
  ""ecological_region_...",yes,"# Table: public.gis_ecologicalregion — 生态保护红线区域表

# Column documentation:
gis_ecologicalregion.id: 主键ID
gis_ecologicalregion.ecological_region_name: 生态红线区域名称
gis_ecologicalregion.ecological_region_cod..."
layer_reservoir_provincial,yes,"-- Table: public.""layer_reservoir_provincial""
-- Table comment: 省控水库
CREATE TABLE public.""layer_reservoir_provincial"" (
  ""id"" integer,
  ""geom"" geometry(MultiPolygon,4326),
  ""objectid"" bigint,
  ""cc...",yes,"# Table: public.layer_reservoir_provincial — 省控水库

# Column documentation:
layer_reservoir_provincial.id: 主键ID
layer_reservoir_provincial.geom: 空间几何数据
layer_reservoir_provincial.objectid: 对象唯一标识
layer..."
dc_survey_task,yes,"-- Table: public.""dc_survey_task_instance""
-- Table comment: 任务实例：记录轨迹、点位的添加
CREATE TABLE public.""dc_survey_task_instance"" (
  ""id"" bigint,
  ""task_id"" bigint,
  ""start_time"" timestamp without time zo...",yes,"# Table: public.dc_survey_task_instance — 任务实例：记录轨迹、点位的添加

# Column documentation:
dc_survey_task_instance.id: 主键
dc_survey_task_instance.task_id: 任务ID
dc_survey_task_instance.start_time: 执行开始时间
dc_su..."
wm_station_info,yes,"-- Table: public.""wm_station_info_v2""
-- Table comment: 自动站管理
CREATE TABLE public.""wm_station_info_v2"" (
  ""id"" bigint,
  ""station_code"" character varying(255),
  ""station_name"" character varying(255)...",yes,"# Table: public.wm_station_info_v2 — 自动站管理

# Column documentation:
wm_station_info_v2.id: 主键
wm_station_info_v2.station_code: 站点编码
wm_station_info_v2.station_name: 站点名称
wm_station_info_v2.short_name:..."
rs_livestock_info_yc,yes,"-- Table: public.""rs_livestock_info_yc""
-- Table comment: 规模化畜禽养殖场-宜昌水环境
CREATE TABLE public.""rs_livestock_info_yc"" (
  ""id"" bigint,
  ""name"" character varying(100),
  ""name_old"" character varying(100...",yes,"# Table: public.rs_livestock_info_yc — 规模化畜禽养殖场-宜昌水环境

# Column documentation:
rs_livestock_info_yc.id: 主键id
rs_livestock_info_yc.name: 养殖场名称
rs_livestock_info_yc.name_old: 曾用名
rs_livestock_info_yc.re..."
se_watershed_river,yes,"-- Table: public.""se_watershed_river""
-- Table comment: 流域河流管理档案表
CREATE TABLE public.""se_watershed_river"" (
  ""id"" bigint,
  ""serial_no"" integer,
  ""river_name"" character varying(100),
  ""river_alias...",yes,"# Table: public.layer_watershed — 工业园区-汇水区

# Column documentation:
layer_watershed.id: 主键ID
layer_watershed.name: 名称
layer_watershed.code: 编码
layer_watershed.geom: 空间几何数据
..."
wh_meteorological_day_records,yes,"-- Table: public.""wh_meteorological_day_records""
-- Table comment: 气象数据日记录表
CREATE TABLE public.""wh_meteorological_day_records"" (
  ""id"" bigint,
  ""station_id"" bigint,
  ""m1_value"" double precision,
 ...",yes,"# Table: public.wh_meteorological_day_records — 气象数据日记录表

# Column documentation:
wh_meteorological_day_records.id: id
wh_meteorological_day_records.station_id: 所属站点id
wh_meteorological_day_records.m1..."
wst_trace_edge,yes,"-- Table: public.""wst_trace_node""
-- Table comment: 水安全溯源模块-溯源拓扑节点表，用于存储河网、管网、园区排污河流、排口挂接点、断面挂接点、园区出口等 pgRouting 节点
CREATE TABLE public.""wst_trace_node"" (
  ""id"" bigint,
  ""node_code"" character varyin...",yes,"# Table: public.wst_trace_edge — 水安全溯源模块-溯源拓扑边表，用于存储河网、管网、排水路径、园区内外衔接路径，是 pgRouting 上下游分析的核心边表

# Column documentation:
wst_trace_edge.id: 主键ID，同时作为 pgRouting 的边ID
wst_trace_edge.edge_code: 边编码
wst_tr..."
wt_service_directory,yes,"-- Table: public.""wt_service_directory""
-- Table comment: 主键id
CREATE TABLE public.""wt_service_directory"" (
  ""id"" bigint,
  ""node_type"" character(1),
  ""code"" character varying(255),
  ""pid"" bigint,
...",yes,"# Table: public.wt_service_directory — 主键id

# Column documentation:
wt_service_directory.id: 主键id
wt_service_directory.node_type: 节点类型：0 目录、1 服务
wt_service_directory.code: code 唯一
wt_service_director..."
