table_name,column_name,status
day_quality_setting,span_standard_value,EXCLUDED
day_quality_setting,span_value,EXCLUDED
day_quality_setting,zero_standard_value,EXCLUDED
gis_ecologicalregion,area,EXCLUDED
gis_naturereserve,buffer_area,EXCLUDED
gis_naturereserve,core_area,EXCLUDED
gis_naturereserve,total_area,EXCLUDED
gis_watershed_partition_4,2021,EXCLUDED
gis_watershed_partition_4,2025,EXCLUDED
gis_watershed_partition_4,2035,EXCLUDED
layer_reservoir_provincial,changeatt,EXCLUDED
layer_reservoir_provincial,ecrm,EXCLUDED
layer_reservoir_provincial,elemetime,EXCLUDED
layer_reservoir_provincial,elemstime,EXCLUDED
layer_reservoir_provincial,wrgr,EXCLUDED
layer_reservoir_provincial,wrid,EXCLUDED
layer_reservoir_provincial_label,changeatt,EXCLUDED
layer_reservoir_provincial_label,ecrm,EXCLUDED
layer_reservoir_provincial_label,elemetime,EXCLUDED
layer_reservoir_provincial_label,elemstime,EXCLUDED
layer_reservoir_provincial_label,wrgr,EXCLUDED
layer_reservoir_provincial_label,wrid,EXCLUDED
layer_reservoir_provincial_合并,changeatt,EXCLUDED
layer_reservoir_provincial_合并,ecrm,EXCLUDED
layer_reservoir_provincial_合并,elemetime,EXCLUDED
layer_reservoir_provincial_合并,elemstime,EXCLUDED
layer_reservoir_provincial_合并,wrgr,EXCLUDED
layer_reservoir_provincial_合并,wrid,EXCLUDED
layer_river_provincial,changeatt,EXCLUDED
layer_river_provincial,ecrm,EXCLUDED
layer_river_provincial,elemetime,EXCLUDED
layer_river_provincial,elemstime,EXCLUDED
layer_river_provincial,wrgr,EXCLUDED
layer_river_provincial,wrid,EXCLUDED
rs_outlet,quick_detect_desc,EXCLUDED
wm_raster_inversion_config,boundaries_json,EXCLUDED
wm_raster_inversion_config,colors_json,EXCLUDED
wm_raster_inversion_config,labels_json,EXCLUDED
wm_waterbody_info,country,EXCLUDED
wm_waterquality_day_records,record_type,EXCLUDED
wst_layer_river,metadata_json,EXCLUDED
