object_type,schema_name,table_name,column_name,exclude_reason
table,public,_stg_yichang_river_counts,,临时导入表，数据不稳定且字段语义未经业务确认; 无表注释且字段注释覆盖率仅 0%，训练上下文不足; 全字段无注释，无可用训练数据
table,public,_stg_yichang_river_import,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,_stg_yichang_river_std,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,layer_river_provincial_bak0617,,备份表，与主表重复，训练价值低
table,public,rs_industrial_info_yc_bak0305,,备份表，与主表重复，训练价值低
table,public,spatial_ref_sys,,PostGIS 系统表，非业务数据
table,public,stg_sjtj_sxhysjzxpt_dbo_operator_day_burnup_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtj_sxhysjzxpt_t_vessel_info_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_clean_company_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_info_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_b_coordination_index_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_pollution_weight_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_subject_num_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_sxhy_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_b_month_receive_ship_kpi_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_b_order_receive_minute_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_b_process_unit_info_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_b_receive_ship_assessment_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_b_receive_ship_info_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_b_transfer_car_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_b_wharf_info_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_b_wharf_kpi_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_p_apply_detail_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_detail_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_p_receive_storage_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_p_trans_apply_detail_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_p_trans_apply_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sjtysj_cbwrwxtzlxxxt_p_wharf_storage_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sslhhpj_hbsxkqycszhslzhglptjsxm_att_bas_base_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sslhhpj_hbsxkqycszhslzhglptjsxm_att_wmst_base_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sslhhpj_hbsxkqycszhslzhglptjsxm_rcm_rv_lk_res_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sslhhpj_hbsxkqycszhslzhglptjsxm_rel_st_source_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sslhhpj_hbsxkqycszhslzhglptjsxm_warn_stcd_r_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_sslhhpj_hbsxkqycszhslzhglptjsxm_wr_mp_b_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_ycsjtysj_sxhyzssj_base_channel_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_ycsjtysj_sxhyzssj_base_channel_level_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_ycsjtysj_sxhyzssj_base_ship_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_ycsjtysj_sxhyzssj_data_coverage_wharf_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_ycsjtysj_sxhyzssj_data_ship_info_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_ycssthjj_ltwsjgpt_t_sjzx_wry_jbxx_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_ycssthjj_lysthjjkyjpt_t_sjzx_szzdjcz_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,stg_ycssthjj_wryzxjkpt_t_zxjc_s_w_1_df,,临时导入表，数据不稳定且字段语义未经业务确认
table,public,wm_water_source_bak0421,,备份表，与主表重复，训练价值低
column,public,_stg_yichang_river_counts,layer_inserted,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,_stg_yichang_river_counts,layer_updated,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,_stg_yichang_river_counts,asset_inserted,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,_stg_yichang_river_counts,asset_updated,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,_stg_yichang_river_counts,skipped,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,_stg_yichang_river_import,gid,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,_stg_yichang_river_import,OBJECTID,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,_stg_yichang_river_import,Nextdown,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,_stg_yichang_river_import,MAINRIVID,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,_stg_yichang_river_import,Hydrocount,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,_stg_yichang_river_import,Rclass,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,_stg_yichang_river_import,Rlenth,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,_stg_yichang_river_import,Hydrolenth,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,_stg_yichang_river_import,Rcatch,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,_stg_yichang_river_import,TCatch,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,_stg_yichang_river_import,Rname,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
