schema_name,table_name,column_name,data_type,column_comment,include_in_training,exclude_reason
public,ad_dict,row_id,bigint,ROW_ID,yes,
public,ad_dict,list_type,character varying(32),列表类型,yes,
public,ad_dict,list_type_desc,character varying(255),列表描述,yes,
public,ad_dict,item_code,character varying(32),列表项代码,yes,
public,ad_dict,item_name,character varying(100),列表项名称,yes,
public,ad_dict,taxis_no,integer,排序码,yes,
public,ad_dict,origin_flag,character(1),数据来源的标志：[]或[I]-(Input)系统录入;[O]-(Out)外部接口导入;[S]-(System)系统保留。本标志不能挪为它用。,yes,
public,ad_dict,origin_app,character varying(32),数据来源应用的代码,yes,
public,ad_dict,modification_num,integer,记录修改次数,yes,
public,ad_dict,create_time,timestamp without time zone,创建时间,yes,
public,ad_dict,update_time,timestamp without time zone,修改时间,yes,
public,ad_dict,del_flag,character(1),删除标志：0-正常，1-已删除,yes,
public,ad_dict,create_by,bigint,创建人,yes,
public,ad_dict,update_by,bigint,修改人,yes,
public,cf_auto_build_flag,id,bigint,主键id,yes,
public,cf_auto_build_flag,manual_auto,character(1),0 手动处理、1 自动处理,yes,
public,cf_auto_build_flag,create_by,bigint,创建人,yes,
public,cf_auto_build_flag,create_time,timestamp without time zone,创建时间,yes,
public,cf_auto_build_flag,update_by,bigint,更新人,yes,
public,cf_auto_build_flag,update_time,timestamp without time zone,更新时间,yes,
public,cf_auto_build_flag,del_flag,character(1),删除标记：0 未删除、1 已删除,yes,
public,day_quality_records,id,bigint,主键id,yes,
public,day_quality_records,station_id,bigint,站点id,yes,
public,day_quality_records,type,character(1),类型：0 零点核查数据、1 跨度核查数据,yes,
public,day_quality_records,span_value5,double precision,氨氮仪器跨度值,yes,
public,day_quality_records,check_value5,double precision,氨氮零点/跨度核查数据,yes,
public,day_quality_records,standard_value5,double precision,氨氮标准样浓度,yes,
public,day_quality_records,monitor_time5,timestamp without time zone,氨氮监测时间,yes,
public,day_quality_records,span_value6,double precision,高锰酸盐指数仪器跨度值,yes,
public,day_quality_records,check_value6,double precision,高锰酸盐指数零点/跨度核查数据,yes,
public,day_quality_records,standard_value6,double precision,高锰酸盐指数标准样浓度,yes,
public,day_quality_records,monitor_time6,timestamp without time zone,高锰酸盐指数监测时间,yes,
public,day_quality_records,span_value7,double precision,总磷仪器跨度值,yes,
public,day_quality_records,check_value7,double precision,总磷零点/跨度核查数据,yes,
public,day_quality_records,standard_value7,double precision,总磷标准样浓度,yes,
public,day_quality_records,monitor_time7,timestamp without time zone,总磷监测时间,yes,
public,day_quality_records,span_value8,double precision,总氮仪器跨度值,yes,
public,day_quality_records,check_value8,double precision,总氮零点/跨度核查数据,yes,
public,day_quality_records,standard_value8,double precision,总氮标准样浓度,yes,
public,day_quality_records,monitor_time8,timestamp without time zone,总氮监测时间,yes,
public,day_quality_records,monitor_time,timestamp without time zone,最新时间,yes,
public,day_quality_records,create_by,bigint,创建人,yes,
public,day_quality_records,create_time,timestamp without time zone,创建时间,yes,
public,day_quality_records,update_by,bigint,更新人,yes,
public,day_quality_records,update_time,timestamp without time zone,更新时间,yes,
public,day_quality_records,del_flag,character(1),删除标记：0 未删除、1 已删除,yes,
public,day_quality_setting,id,bigint,主键id,yes,
public,day_quality_setting,station_id,bigint,站点id,yes,
public,day_quality_setting,indicator_code,character varying(100),监测指标编号,yes,
public,day_quality_setting,audit_by,bigint,审核人,yes,
public,day_quality_setting,audit_time,timestamp without time zone,审核时间,yes,
public,day_quality_setting,create_by,bigint,创建人,yes,
public,day_quality_setting,create_time,timestamp without time zone,创建时间,yes,
public,day_quality_setting,update_by,bigint,更新人,yes,
public,day_quality_setting,update_time,timestamp without time zone,更新时间,yes,
public,day_quality_setting,del_flag,character(1),删除标记：0 未删除、1 已删除,yes,
public,dc_survey_app,id,bigint,主键ID,yes,
public,dc_survey_app,version_code,character varying(50),APP版本号：V1.0.0、1.0.0、100,yes,
public,dc_survey_app,version_name,character varying(100),APP版本名称: 如果有多个APP保证每一类名称一致,yes,
public,dc_survey_app,update_type,smallint,更新类型：1-强制更新，2-可选更新,yes,
public,dc_survey_app,download_url,character varying(500),安装包下载地址,yes,
public,dc_survey_app,file_size,bigint,安装包文件大小（字节）,yes,
public,dc_survey_app,file_md5,character varying(32),安装包MD5值，用于校验文件完整性,yes,
public,dc_survey_app,update_log,text,更新日志,yes,
public,dc_survey_app,platform_type,smallint,平台类型：1-Android，2-iOS,yes,
public,dc_survey_app,create_by,bigint,创建人,yes,
public,dc_survey_app,create_time,timestamp without time zone,创建时间,yes,
public,dc_survey_info,id,bigint,主键ID,yes,
public,dc_survey_info,watershed_partition_id,bigint,流域分区ID,yes,
public,dc_survey_info,title,character varying(50),标题：对应调研的名称,yes,
public,dc_survey_info,upload_time,character varying(50),上传时间：每次上传都记录时间  20251128,yes,
public,dc_survey_info,name,character varying(50),名称,yes,
public,dc_survey_info,type,character varying(50),类型（工业、规上畜禽、规下畜禽、水产养殖、排污口、污水处理厂、厕污垃、河道情况、其他）,yes,
public,dc_survey_info,lon,double precision,经度,yes,
public,dc_survey_info,lat,double precision,纬度,yes,
public,dc_survey_info,description,character varying(200),现场核查情况信息（是否有污水产生、污水流向）,yes,
public,dc_survey_info,image_path,character varying(200),图片地址：图片在minIO存储,yes,
public,dc_survey_info,monitor_info,character varying(100),监测信息（是否监测，结果如何）,yes,
public,dc_survey_info,monitor_level,character varying(10),管控级别：一级（常年有水，肯定对水体有影响），二级（下雨时肯定对水体影响），三级（可能有影响），四级（无影响）,yes,
public,dc_survey_info,remark,character varying(200),备注,yes,
public,dc_survey_info,create_by,bigint,创建人,yes,
public,dc_survey_info,create_time,timestamp without time zone,创建时间,yes,
public,dc_survey_info,update_by,bigint,更新人,yes,
public,dc_survey_info,update_time,timestamp without time zone,更新时间,yes,
public,dc_survey_info,del_flag,character(1),删除标记：0 未删除、1 已删除,yes,
public,dc_survey_info,survey_type,smallint,调查类型：0-excel调查信息、1-word小结,yes,
public,dc_survey_info,image_path_2,character varying(200),图片2,yes,
public,dc_survey_info,image_path_3,character varying(200),图片3,yes,
public,dc_survey_info,task_id,bigint,APP巡查：任务id,yes,
public,dc_survey_info,task_instance_id,bigint,APP巡查：巡查任务实例id,yes,
public,dc_survey_offline_sync,id,bigint,主键,yes,
public,dc_survey_offline_sync,cache_id,character varying(64),缓存ID：APP端维护，用于关联提交数据,yes,
public,dc_survey_offline_sync,sync_status,integer,同步状态：0-待同步，1-同步中，2-同步成功，3-同步失败,yes,
public,dc_survey_offline_sync,sync_progress,integer,同步进度：0-100,yes,
public,dc_survey_offline_sync,total_steps,integer,总步骤数,yes,
public,dc_survey_offline_sync,current_step,integer,当前步骤,yes,
public,dc_survey_offline_sync,sync_start_time,timestamp without time zone,同步开始时间,yes,
public,dc_survey_offline_sync,sync_end_time,timestamp without time zone,同步结束时间,yes,
public,dc_survey_offline_sync,task_id,bigint,任务ID：关联的巡查任务ID,yes,
public,dc_survey_offline_sync,sync_result,character varying(500),同步结果信息,yes,
public,dc_survey_offline_sync,error_message,text,错误信息,yes,
public,dc_survey_offline_sync,create_by,bigint,创建人,yes,
public,dc_survey_offline_sync,create_time,timestamp without time zone,创建时间,yes,
public,dc_survey_offline_sync,del_flag,character varying(1),删除标记：0 未删除、1 已删除,yes,
public,dc_survey_offline_upload,id,bigint,主键ID,yes,
public,dc_survey_offline_upload,cache_id,character varying(64),缓存ID：与离线同步任务的cacheId对应，用于批量文件管理,yes,
public,dc_survey_offline_upload,file_md5,character varying(32),文件标识：MD5值，用于唯一标识文件和完整性校验,yes,
public,dc_survey_offline_upload,file_type,character varying(20),文件类型：json-JSON数据文件，image-图片文件,yes,
public,dc_survey_offline_upload,file_name,character varying(255),文件名,yes,
public,dc_survey_offline_upload,file_size,bigint,文件总大小：字节,yes,
public,dc_survey_offline_upload,uploaded_size,bigint,已上传大小：字节,yes,
public,dc_survey_offline_upload,total_chunks,integer,总分块数,yes,
public,dc_survey_offline_upload,uploaded_chunks,text,已上传分块列表：JSON数组，记录已完成的分块序号,yes,
public,dc_survey_offline_upload,file_path,character varying(500),文件存储路径：上传完成后的完整路径,yes,
public,dc_survey_offline_upload,upload_status,smallint,上传状态：0-待上传，1-上传中，2-上传完成，3-合并失败,yes,
public,dc_survey_offline_upload,message,text,执行信息：错误日志,yes,
public,dc_survey_offline_upload,create_by,bigint,创建人,yes,
public,dc_survey_offline_upload,create_time,timestamp without time zone,创建时间,yes,
public,dc_survey_offline_upload,update_time,timestamp without time zone,更新时间,yes,
