list_name,table_name,column_name,source_comment,list_comment,match_status,issue
candidate_whitelist,ad_dict,row_id,ROW_ID,ROW_ID,match,
candidate_whitelist,ad_dict,list_type,列表类型,列表类型,match,
candidate_whitelist,ad_dict,list_type_desc,列表描述,列表描述,match,
candidate_whitelist,ad_dict,item_code,列表项代码,列表项代码,match,
candidate_whitelist,ad_dict,item_name,列表项名称,列表项名称,match,
candidate_whitelist,ad_dict,taxis_no,排序码,排序码,match,
candidate_whitelist,ad_dict,origin_flag,数据来源的标志：[]或[I]-(Input)系统录入;[O]-(Out)外部接口导入;[S]-(System)系统保留。本标志不能挪为它用。,数据来源的标志：[]或[I]-(Input)系统录入;[O]-(Out)外部接口导入;[S]-(System)系统保留。本标志不能挪为它用。,match,
candidate_whitelist,ad_dict,origin_app,数据来源应用的代码,数据来源应用的代码,match,
candidate_whitelist,ad_dict,modification_num,记录修改次数,记录修改次数,match,
candidate_whitelist,cf_auto_build_flag,id,主键id,主键id,match,
candidate_whitelist,cf_auto_build_flag,manual_auto,0 手动处理、1 自动处理,0 手动处理、1 自动处理,match,
candidate_whitelist,cf_auto_build_flag,create_by,创建人,创建人,match,
candidate_whitelist,cf_auto_build_flag,create_time,创建时间,创建时间,match,
candidate_whitelist,cf_auto_build_flag,update_by,更新人,更新人,match,
candidate_whitelist,cf_auto_build_flag,update_time,更新时间,更新时间,match,
candidate_whitelist,cf_auto_build_flag,del_flag,删除标记：0 未删除、1 已删除,删除标记：0 未删除、1 已删除,match,
candidate_whitelist,day_quality_records,id,主键id,主键id,match,
candidate_whitelist,day_quality_records,station_id,站点id,站点id,match,
candidate_whitelist,day_quality_records,type,类型：0 零点核查数据、1 跨度核查数据,类型：0 零点核查数据、1 跨度核查数据,match,
candidate_whitelist,day_quality_records,span_value5,氨氮仪器跨度值,氨氮仪器跨度值,match,
candidate_whitelist,day_quality_records,check_value5,氨氮零点/跨度核查数据,氨氮零点/跨度核查数据,match,
candidate_whitelist,day_quality_records,standard_value5,氨氮标准样浓度,氨氮标准样浓度,match,
candidate_whitelist,day_quality_records,monitor_time5,氨氮监测时间,氨氮监测时间,match,
candidate_whitelist,day_quality_records,span_value6,高锰酸盐指数仪器跨度值,高锰酸盐指数仪器跨度值,match,
candidate_whitelist,day_quality_records,check_value6,高锰酸盐指数零点/跨度核查数据,高锰酸盐指数零点/跨度核查数据,match,
candidate_whitelist,day_quality_records,standard_value6,高锰酸盐指数标准样浓度,高锰酸盐指数标准样浓度,match,
candidate_whitelist,day_quality_records,monitor_time6,高锰酸盐指数监测时间,高锰酸盐指数监测时间,match,
candidate_whitelist,day_quality_records,span_value7,总磷仪器跨度值,总磷仪器跨度值,match,
candidate_whitelist,day_quality_records,check_value7,总磷零点/跨度核查数据,总磷零点/跨度核查数据,match,
candidate_whitelist,day_quality_records,standard_value7,总磷标准样浓度,总磷标准样浓度,match,
candidate_whitelist,day_quality_records,monitor_time7,总磷监测时间,总磷监测时间,match,
