# Table: public.wh_meteorological_predict_hour_records — 气象预报小时记录表

# Column documentation:
wh_meteorological_predict_hour_records.id: id
wh_meteorological_predict_hour_records.station_id: 所属站点id
wh_meteorological_predict_hour_records.winddirect_10m_1h: 10米风向（小时）
wh_meteorological_predict_hour_records.winddirect8_10m_1h: 10米8方位风向（小时）
wh_meteorological_predict_hour_records.winddirect16_10m_1h: 10米16方位风向（小时）
wh_meteorological_predict_hour_records.windspeed_10m_1h: 10米风速（小时）
wh_meteorological_predict_hour_records.tem_2m_1h: 2米温度（小时）
wh_meteorological_predict_hour_records.hum_2m_1h: 2米湿度（小时）
wh_meteorological_predict_hour_records.dewpoint_1h: 露点温度（小时）
wh_meteorological_predict_hour_records.dtem_2m_1h: 2米温度1小时变化
wh_meteorological_predict_hour_records.dtem_2m_3h: 2米温度3小时变化
wh_meteorological_predict_hour_records.dtem_2m_6h: 2米温度6小时变化
wh_meteorological_predict_hour_records.dtem_2m_12h: 2米温度12小时变化
wh_meteorological_predict_hour_records.dtem_2m_24h: 2米温度24小时变化
wh_meteorological_predict_hour_records.rain_1h: 小时降雨量
wh_meteorological_predict_hour_records.rain_3h: 3小时累计降雨量
wh_meteorological_predict_hour_records.rain_6h: 6小时累计降雨量
wh_meteorological_predict_hour_records.rain_12h: 12小时累计降雨量
wh_meteorological_predict_hour_records.rain_24h: 24小时累计降雨量
wh_meteorological_predict_hour_records.lowcloud_1h: 低云量（小时）
wh_meteorological_predict_hour_records.midcloud_1h: 中云量（小时）
wh_meteorological_predict_hour_records.highcloud_1h: 高云量（小时）
wh_meteorological_predict_hour_records.totalcloud_1h: 总云量（小时）
wh_meteorological_predict_hour_records.pbl_1h: 行星边界层高度（小时）
wh_meteorological_predict_hour_records.height_1h: 边界层高度（小时）
wh_meteorological_predict_hour_records.pressure_1h: 海平面气压（小时）
wh_meteorological_predict_hour_records.stapress_1h: 地面气压（小时）
wh_meteorological_predict_hour_records.glw_1h: 长波辐射通量（小时）
wh_meteorological_predict_hour_records.swdown_1h: 短波辐射通量（小时）
wh_meteorological_predict_hour_records.p850inver_1h: 850hPa逆温层高度（小时）
wh_meteorological_predict_hour_records.p925inver_1h: 925hPa逆温层高度（小时）
wh_meteorological_predict_hour_records.visib_1h: 能见度（小时）
wh_meteorological_predict_hour_records.predictiontime: 预测时间
wh_meteorological_predict_hour_records.time: 预报时次,如08时、20时
wh_meteorological_predict_hour_records.predictioninterval: 预测间隔（小时）
wh_meteorological_predict_hour_records.datadate: 数据日期
wh_meteorological_predict_hour_records.create_by: 创建人
wh_meteorological_predict_hour_records.create_time: 创建时间
wh_meteorological_predict_hour_records.update_by: 更新人
wh_meteorological_predict_hour_records.update_time: 更新时间
wh_meteorological_predict_hour_records.del_flag: 删除标记：0 未删除、1 已删除
